student,occas,gpa,job,sex
1,0,2.3,0,1
1,1,2.1,0,1
1,2,3,0,1
1,3,3,0,1
1,4,3,0,1
1,5,3.3,0,1
2,0,2.2,0,0
2,1,2.5,0,0
2,2,2.6,0,0
2,3,2.6,0,0
2,4,3,0,0
2,5,2.8,0,0
3,0,2.4,0,1
3,1,2.9,0,1
3,2,3,0,1
3,3,2.8,0,1
3,4,3.3,0,1
3,5,3.4,0,1
4,0,2.5,0,0
4,1,2.7,0,0
4,2,2.4,0,0
4,3,2.7,0,0
4,4,2.9,0,0
4,5,2.7,0,0
5,0,2.8,0,0
5,1,2.8,0,0
5,2,2.8,0,0
5,3,3,0,0
5,4,2.9,0,0
5,5,3.1,0,0
6,0,2.5,0,1
6,1,2.4,0,1
6,2,2.4,0,1
6,3,2.3,0,1
6,4,2.7,0,1
6,5,2.8,0,1
7,0,2.4,0,0
7,1,2.4,0,0
7,2,2.8,0,0
7,3,2.6,0,0
7,4,3,0,0
7,5,3,0,0
8,0,2.8,0,1
8,1,2.8,0,1
8,2,3.1,0,1
8,3,3.3,0,1
8,4,3.3,0,1
8,5,3.4,0,1
9,0,2.8,0,0
9,1,2.7,0,0
9,2,2.7,0,0
9,3,3.1,0,0
9,4,3.1,0,0
9,5,3.5,0,0
10,0,2.8,0,0
10,1,2.8,0,0
10,2,3,0,0
10,3,2.7,0,0
10,4,3,0,0
10,5,3,0,0
11,0,2.6,0,1
11,1,2.9,0,1
11,2,3.2,0,1
11,3,3.6,0,1
11,4,3.6,0,1
11,5,3.8,0,1
12,0,2.6,0,1
12,1,3,0,1
12,2,2.3,0,1
12,3,2.9,0,1
12,4,3.1,0,1
12,5,3.3,0,1
13,0,2.8,0,0
13,1,3.1,0,0
13,2,3.5,0,0
13,3,3.6,0,0
13,4,3.9,0,0
13,5,3.9,0,0
14,0,2.4,0,1
14,1,3,0,1
14,2,2.9,0,1
14,3,3,0,1
14,4,3.3,0,1
14,5,3.4,0,1
15,0,2.2,0,0
15,1,2.7,0,0
15,2,2.6,0,0
15,3,2.6,0,0
15,4,2.8,0,0
15,5,2.8,0,0
16,0,2.5,0,1
16,1,2.7,0,1
16,2,2.8,0,1
16,3,2.7,0,1
16,4,2.8,0,1
16,5,2.8,0,1
17,0,2.6,0,0
17,1,2.2,0,0
17,2,2.6,0,0
17,3,2.5,0,0
17,4,2.6,0,0
17,5,2.8,0,0
18,0,2.4,0,0
18,1,2.9,0,0
18,2,2,0,0
18,3,2.6,0,0
18,4,2.5,0,0
18,5,2.7,0,0
19,0,2.5,0,1
19,1,2.3,0,1
19,2,3,0,1
19,3,2.9,0,1
19,4,2.9,0,1
19,5,2.9,0,1
20,0,2.8,0,0
20,1,2.9,0,0
20,2,3.2,0,0
20,3,3.2,0,0
20,4,3.4,0,0
20,5,3.3,0,0
21,0,2.6,0,1
21,1,2.4,0,1
21,2,2.5,0,1
21,3,2.5,0,1
21,4,2.5,0,1
21,5,2.6,0,1
22,0,2.8,0,0
22,1,2.7,0,0
22,2,3.1,0,0
22,3,3.1,0,0
22,4,3,0,0
22,5,3.3,0,0
23,0,2.8,0,0
23,1,3.2,0,0
23,2,2.8,0,0
23,3,3,0,0
23,4,2.9,0,0
23,5,3,0,0
24,0,2.7,0,1
24,1,2.9,0,1
24,2,3,0,1
24,3,2.7,0,1
24,4,2.9,0,1
24,5,3,0,1
25,0,3.5,0,1
25,1,3.1,0,1
25,2,3,0,1
25,3,3.3,0,1
25,4,3.4,0,1
25,5,3.6,0,1
26,0,2.3,0,0
26,1,2.8,0,0
26,2,2.1,0,0
26,3,2.8,0,0
26,4,2.8,0,0
26,5,2.5,0,0
27,0,2.2,0,0
27,1,2.4,0,0
27,2,2.5,0,0
27,3,2.2,0,0
27,4,2.8,0,0
27,5,2.5,0,0
28,0,2.6,0,1
28,1,3.1,0,1
28,2,2.9,0,1
28,3,3.1,0,1
28,4,3.1,0,1
28,5,3.2,0,1
29,0,2.9,0,1
29,1,2.7,0,1
29,2,2.9,0,1
29,3,2.9,0,1
29,4,3.3,0,1
29,5,3.2,0,1
30,0,2.9,0,1
30,1,3,0,1
30,2,3.2,0,1
30,3,3.1,0,1
30,4,3.2,0,1
30,5,3.3,0,1
31,0,2.6,0,1
31,1,2.2,0,1
31,2,2.1,0,1
31,3,2.4,0,1
31,4,2.6,0,1
31,5,2.8,0,1
32,0,2.8,0,1
32,1,2.9,0,1
32,2,3,0,1
32,3,3.3,0,1
32,4,3.4,0,1
32,5,3.6,0,1
33,0,2.3,0,1
33,1,3,0,1
33,2,2.4,0,1
33,3,2.8,0,1
33,4,2.8,0,1
33,5,3,0,1
34,0,2.4,0,0
34,1,2.8,0,0
34,2,2.6,0,0
34,3,2.7,0,0
34,4,2.6,0,0
34,5,2.6,0,0
35,0,2.5,0,0
35,1,2.5,0,0
35,2,2.6,0,0
35,3,3.2,0,0
35,4,3.4,0,0
35,5,3.6,0,0
36,0,2.5,0,0
36,1,2.9,0,0
36,2,3,0,0
36,3,3.2,0,0
36,4,3,0,0
36,5,3.5,0,0
37,0,2.2,0,0
37,1,2.5,0,0
37,2,3.3,0,0
37,3,3.1,0,0
37,4,3.3,0,0
37,5,3.4,0,0
38,0,2.9,0,1
38,1,3.2,0,1
38,2,3.2,0,1
38,3,3.4,0,1
38,4,3.6,0,1
38,5,3.8,0,1
39,0,2.4,0,0
39,1,2.3,0,0
39,2,3,0,0
39,3,3.1,0,0
39,4,3.1,0,0
39,5,2.9,0,0
40,0,2.5,0,1
40,1,2.9,0,1
40,2,3.2,0,1
40,3,3.6,0,1
40,4,3.3,0,1
40,5,3.6,0,1
41,0,2.9,0,1
41,1,3.5,0,1
41,2,3.2,0,1
41,3,3.5,0,1
41,4,3.8,0,1
41,5,3.9,0,1
42,0,2.5,0,0
42,1,2.5,0,0
42,2,3.4,0,0
42,3,2.6,0,0
42,4,2.8,0,0
42,5,3,0,0
43,0,2,0,1
43,1,2.5,0,1
43,2,3.1,0,1
43,3,3.3,0,1
43,4,3.2,0,1
43,5,3.6,0,1
44,0,3.1,0,1
44,1,3,0,1
44,2,3.1,0,1
44,3,2.9,0,1
44,4,3.1,0,1
44,5,3.2,0,1
45,0,2.7,0,1
45,1,3.1,0,1
45,2,3,0,1
45,3,3.3,0,1
45,4,3.1,0,1
45,5,3.2,0,1
46,0,2.9,0,0
46,1,2.2,0,0
46,2,2.7,0,0
46,3,2.4,0,0
46,4,2.6,0,0
46,5,2.4,0,0
47,0,2.6,0,1
47,1,2.5,0,1
47,2,2.8,0,1
47,3,2.2,0,1
47,4,2.8,0,1
47,5,2.7,0,1
48,0,2.9,0,1
48,1,2.5,0,1
48,2,2.7,0,1
48,3,2.9,0,1
48,4,3,0,1
48,5,3.2,0,1
49,0,3.1,0,0
49,1,2.7,0,0
49,2,3,0,0
49,3,2.7,0,0
49,4,3,0,0
49,5,3.4,0,0
50,0,2.4,0,0
50,1,2.7,0,0
50,2,2.4,0,0
50,3,3.2,0,0
50,4,3,0,0
50,5,3,0,0
51,0,1.7,0,0
51,1,2.5,0,0
51,2,3.3,0,0
51,3,3.2,0,0
51,4,3,0,0
51,5,3.3,0,0
52,0,2.5,0,1
52,1,2.9,0,1
52,2,3,0,1
52,3,3.3,0,1
52,4,3.3,0,1
52,5,3.3,0,1
53,0,2.8,0,0
53,1,3.4,0,0
53,2,2.7,0,0
53,3,3,0,0
